discounts,num_players,odd_player,scores,avg_score_per_round,avg_score_per_offer,table_count,total_tables,round
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[7.659978698223066, 10.5, 7.02, 5.270021301776937, 9.9, 10.600000000000001, 9.55, 20.0, 10.5]","[0.36476089039157455, 0.5, 0.33428571428571424, 0.25095339532271127, 0.4714285714285714, 0.5047619047619049, 0.4547619047619048, 0.9523809523809523, 0.5]","[0.18238044519578728, 0.4772727272727273, 0.3190909090909091, 0.2395464228080426, 0.45, 0.24090909090909093, 0.43409090909090914, 0.47619047619047616, 0.4772727272727273]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[42, 22, 22, 22, 22, 44, 22, 42, 22]",21
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[7.659978698223066, 11.0, 7.02, 5.270021301776937, 9.9, 11.100000000000001, 10.05, 21.0, 11.0]","[0.34818084991923026, 0.5, 0.3190909090909091, 0.2395464228080426, 0.45, 0.5045454545454546, 0.45681818181818185, 0.9545454545454546, 0.5]","[0.17409042495961513, 0.4782608695652174, 0.30521739130434783, 0.22913136094682332, 0.43043478260869567, 0.24130434782608698, 0.43695652173913047, 0.4772727272727273, 0.4782608695652174]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[44, 23, 23, 23, 23, 46, 23, 44, 23]",22
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[8.359901775148082, 11.5, 7.6499999999999995, 5.740098224851922, 10.791, 11.609000000000002, 10.55, 22.0, 11.5]","[0.36347399022382965, 0.5, 0.3326086956521739, 0.24956948803704007, 0.4691739130434783, 0.5047391304347827, 0.45869565217391306, 0.9565217391304348, 0.5]","[0.18173699511191482, 0.4791666666666667, 0.31875, 0.23917075936883006, 0.449625, 0.2418541666666667, 0.4395833333333334, 0.4782608695652174, 0.4791666666666667]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[46, 24, 24, 24, 24, 48, 24, 46, 24]",23
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[8.359901775148082, 12.0, 7.6499999999999995, 5.740098224851922, 10.791, 12.109000000000002, 11.05, 23.0, 12.0]","[0.34832924063117005, 0.5, 0.31875, 0.23917075936883006, 0.449625, 0.5045416666666668, 0.4604166666666667, 0.9583333333333334, 0.5]","[0.17416462031558502, 0.48, 0.306, 0.22960392899407686, 0.43164, 0.24218000000000003, 0.442, 0.4791666666666667, 0.48]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[48, 25, 25, 25, 25, 50, 25, 48, 25]",24
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[9.059824852070996, 12.5, 8.28, 6.210175147929006, 11.682, 12.618000000000002, 11.55, 24.0, 12.5]","[0.3623929940828398, 0.5, 0.3312, 0.24840700591716025, 0.46728000000000003, 0.5047200000000001, 0.462, 0.96, 0.5]","[0.1811964970414199, 0.4807692307692308, 0.31846153846153846, 0.2388528903049618, 0.4493076923076923, 0.2426538461538462, 0.44423076923076926, 0.48, 0.4807692307692308]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[50, 26, 26, 26, 26, 52, 26, 50, 26]",25
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[9.059824852070996, 13.0, 8.28, 6.210175147929006, 11.682, 13.118000000000002, 12.05, 25.0, 13.0]","[0.3484548020027306, 0.5, 0.31846153846153846, 0.2388528903049618, 0.4493076923076923, 0.5045384615384616, 0.4634615384615385, 0.9615384615384616, 0.5]","[0.1742274010013653, 0.48148148148148145, 0.30666666666666664, 0.23000648696033357, 0.4326666666666667, 0.24292592592592596, 0.4462962962962963, 0.4807692307692308, 0.48148148148148145]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[52, 27, 27, 27, 27, 54, 27, 52, 27]",26
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[9.759747928994086, 13.5, 8.91, 6.680252071005916, 12.573, 13.627000000000002, 12.55, 26.0, 13.5]","[0.3614721455182995, 0.5, 0.33, 0.2474167433705895, 0.4656666666666667, 0.5047037037037038, 0.46481481481481485, 0.9629629629629629, 0.5]","[0.18073607275914974, 0.48214285714285715, 0.3182142857142857, 0.23858043110735414, 0.4490357142857143, 0.24333928571428576, 0.44821428571428573, 0.48148148148148145, 0.48214285714285715]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[54, 28, 28, 28, 28, 56, 28, 54, 28]",27
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[9.759747928994086, 14.0, 8.91, 6.680252071005916, 12.573, 14.127000000000002, 13.05, 27.0, 14.0]","[0.3485624260355031, 0.5, 0.3182142857142857, 0.23858043110735414, 0.4490357142857143, 0.5045357142857144, 0.4660714285714286, 0.9642857142857143, 0.5]","[0.17428121301775154, 0.4827586206896552, 0.30724137931034484, 0.23035351968985918, 0.433551724137931, 0.24356896551724141, 0.45, 0.48214285714285715, 0.4827586206896552]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[56, 29, 29, 29, 29, 58, 29, 56, 29]",28
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[10.459671005917162, 14.5, 9.540000000000001, 7.15032899408284, 13.464, 14.636000000000003, 13.55, 28.0, 14.5]","[0.3606783105488677, 0.5, 0.32896551724137935, 0.24656306876147724, 0.46427586206896554, 0.5046896551724139, 0.4672413793103449, 0.9655172413793104, 0.5]","[0.18033915527443384, 0.48333333333333334, 0.318, 0.23834429980276134, 0.44880000000000003, 0.2439333333333334, 0.4516666666666667, 0.4827586206896552, 0.48333333333333334]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[58, 30, 30, 30, 30, 60, 30, 58, 30]",29
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[10.459671005917162, 15.0, 9.540000000000001, 7.15032899408284, 13.464, 15.136000000000003, 14.05, 29.0, 15.0]","[0.34865570019723874, 0.5, 0.318, 0.23834429980276134, 0.44880000000000003, 0.5045333333333334, 0.4683333333333334, 0.9666666666666667, 0.5]","[0.17432785009861937, 0.4838709677419355, 0.307741935483871, 0.23065577400267226, 0.4343225806451613, 0.24412903225806457, 0.4532258064516129, 0.48333333333333334, 0.4838709677419355]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[60, 31, 31, 31, 31, 62, 31, 60, 31]",30
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[11.159594082840238, 15.5, 10.170000000000002, 7.620405917159763, 14.355, 15.645000000000003, 14.55, 30.0, 15.5]","[0.3599869058980722, 0.5, 0.3280645161290323, 0.24581954571483106, 0.46306451612903227, 0.5046774193548388, 0.4693548387096774, 0.967741935483871, 0.5]","[0.1799934529490361, 0.484375, 0.31781250000000005, 0.2381376849112426, 0.44859375, 0.24445312500000005, 0.4546875, 0.4838709677419355, 0.484375]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[62, 32, 32, 32, 32, 64, 32, 62, 32]",31
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[11.159594082840238, 16.0, 10.170000000000002, 7.620405917159763, 14.355, 16.145000000000003, 15.05, 31.0, 16.0]","[0.34873731508875744, 0.5, 0.31781250000000005, 0.2381376849112426, 0.44859375, 0.5045312500000001, 0.4703125, 0.96875, 0.5]","[0.17436865754437872, 0.48484848484848486, 0.3081818181818182, 0.23092139142908374, 0.435, 0.24462121212121216, 0.45606060606060606, 0.484375, 0.48484848484848486]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[64, 33, 33, 33, 33, 66, 33, 64, 33]",32
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[11.859517159763314, 16.5, 10.800000000000002, 8.090482840236687, 15.246, 16.654000000000003, 15.55, 32.0, 16.5]","[0.3593793078716156, 0.5, 0.3272727272727273, 0.245166146673839, 0.462, 0.5046666666666668, 0.47121212121212125, 0.9696969696969697, 0.5]","[0.1796896539358078, 0.4852941176470588, 0.3176470588235295, 0.2379553776540202, 0.44841176470588234, 0.2449117647058824, 0.45735294117647063, 0.48484848484848486, 0.4852941176470588]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[66, 34, 34, 34, 34, 68, 34, 66, 34]",33
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[11.859517159763314, 17.0, 10.800000000000002, 8.090482840236687, 15.246, 17.154000000000003, 16.05, 33.0, 17.0]","[0.34880932822833277, 0.5, 0.3176470588235295, 0.2379553776540202, 0.44841176470588234, 0.504529411764706, 0.4720588235294118, 0.9705882352941176, 0.5]","[0.17440466411416639, 0.4857142857142857, 0.30857142857142866, 0.23115665257819107, 0.4356, 0.24505714285714292, 0.4585714285714286, 0.4852941176470588, 0.4857142857142857]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[68, 35, 35, 35, 35, 70, 35, 68, 35]",34
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[12.55944023668639, 17.5, 11.430000000000003, 8.560559763313611, 16.137, 17.663000000000004, 16.55, 34.0, 17.5]","[0.35884114961961117, 0.5, 0.3265714285714287, 0.24458742180896031, 0.4610571428571429, 0.5046571428571429, 0.47285714285714286, 0.9714285714285714, 0.5]","[0.17942057480980558, 0.4861111111111111, 0.3175000000000001, 0.23779332675871143, 0.44825000000000004, 0.2453194444444445, 0.45972222222222225, 0.4857142857142857, 0.4861111111111111]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[70, 36, 36, 36, 36, 72, 36, 70, 36]",35
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[12.55944023668639, 18.0, 11.430000000000003, 8.560559763313611, 16.137, 18.163000000000004, 17.05, 35.0, 18.0]","[0.34887333990795527, 0.5, 0.3175000000000001, 0.23779332675871143, 0.44825000000000004, 0.5045277777777779, 0.47361111111111115, 0.9722222222222222, 0.5]","[0.17443666995397764, 0.4864864864864865, 0.308918918918919, 0.23136648008955704, 0.43613513513513513, 0.245445945945946, 0.4608108108108108, 0.4861111111111111, 0.4864864864864865]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[72, 37, 37, 37, 37, 74, 37, 72, 37]",36
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[13.259363313609466, 18.5, 12.060000000000004, 9.030636686390535, 17.028, 18.672000000000004, 17.55, 36.0, 18.5]","[0.3583611706380937, 0.5, 0.32594594594594606, 0.24407126179433877, 0.46021621621621617, 0.5046486486486488, 0.47432432432432436, 0.972972972972973, 0.5]","[0.17918058531904685, 0.4868421052631579, 0.3173684210526317, 0.2376483338523825, 0.44810526315789473, 0.24568421052631584, 0.4618421052631579, 0.4864864864864865, 0.4868421052631579]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[74, 38, 38, 38, 38, 76, 38, 74, 38]",37
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[13.259363313609466, 19.0, 12.060000000000004, 9.030636686390535, 17.028, 19.172000000000004, 18.05, 37.0, 19.0]","[0.3489306135160386, 0.5, 0.3173684210526317, 0.2376483338523825, 0.44810526315789473, 0.5045263157894738, 0.47500000000000003, 0.9736842105263158, 0.5]","[0.1744653067580193, 0.48717948717948717, 0.3092307692307693, 0.23155478683052655, 0.43661538461538457, 0.24579487179487186, 0.46282051282051284, 0.4868421052631579, 0.48717948717948717]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[76, 39, 39, 39, 39, 78, 39, 76, 39]",38
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[13.959286390532542, 19.5, 12.690000000000005, 9.500713609467459, 17.918999999999997, 19.681000000000004, 18.55, 38.0, 19.5]","[0.35793042027006516, 0.5, 0.3253846153846155, 0.24360804126839639, 0.45946153846153837, 0.5046410256410258, 0.47564102564102567, 0.9743589743589743, 0.5]","[0.17896521013503258, 0.4875, 0.31725000000000014, 0.23751784023668648, 0.4479749999999999, 0.24601250000000005, 0.46375, 0.48717948717948717, 0.4875]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[78, 40, 40, 40, 40, 80, 40, 78, 40]",39
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[13.959286390532542, 20.0, 12.690000000000005, 9.500713609467459, 17.918999999999997, 20.181000000000004, 19.05, 39.0, 20.0]","[0.34898215976331354, 0.5, 0.31725000000000014, 0.23751784023668648, 0.4479749999999999, 0.5045250000000001, 0.47625, 0.975, 0.5]","[0.17449107988165677, 0.4878048780487805, 0.30951219512195133, 0.23172472218213314, 0.4370487804878048, 0.24610975609756103, 0.46463414634146344, 0.4875, 0.4878048780487805]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[80, 41, 41, 41, 41, 82, 41, 80, 41]",40
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[14.659209467455618, 20.5, 13.320000000000006, 9.970790532544383, 18.809999999999995, 20.690000000000005, 19.55, 40.0, 20.5]","[0.3575416943281858, 0.5, 0.3248780487804879, 0.2431900129888874, 0.45878048780487796, 0.5046341463414635, 0.47682926829268296, 0.975609756097561, 0.5]","[0.1787708471640929, 0.4880952380952381, 0.3171428571428573, 0.23739977458439007, 0.44785714285714273, 0.24630952380952387, 0.4654761904761905, 0.4878048780487805, 0.4880952380952381]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[82, 42, 42, 42, 42, 84, 42, 82, 42]",41
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[14.659209467455618, 21.0, 13.320000000000006, 9.970790532544383, 18.809999999999995, 21.190000000000005, 20.05, 41.0, 21.0]","[0.34902879684418137, 0.5, 0.3171428571428573, 0.23739977458439007, 0.44785714285714273, 0.5045238095238096, 0.4773809523809524, 0.9761904761904762, 0.5]","[0.17451439842209068, 0.4883720930232558, 0.30976744186046523, 0.23187884959405541, 0.4374418604651162, 0.24639534883720937, 0.4662790697674419, 0.4880952380952381, 0.4883720930232558]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[84, 43, 43, 43, 43, 86, 43, 84, 43]",42
