discounts,num_players,odd_player,scores,avg_score_per_round,avg_score_per_offer,table_count,total_tables,round
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[29.357594082840247, 41.5, 26.549999999999994, 19.842405917159784, 37.52099999999996, 41.87900000000001, 40.55, 82.0, 41.5]","[0.3537059528053042, 0.5, 0.3198795180722891, 0.2390651315320456, 0.45206024096385494, 0.5045662650602412, 0.48855421686746986, 0.9879518072289156, 0.5]","[0.1768529764026521, 0.49404761904761907, 0.3160714285714285, 0.236219118061426, 0.4466785714285709, 0.24927976190476198, 0.4827380952380952, 0.4939759036144578, 0.49404761904761907]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[166, 84, 84, 84, 84, 168, 84, 166, 84]",83
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[29.357594082840247, 42.0, 26.549999999999994, 19.842405917159784, 37.52099999999996, 42.37900000000001, 41.05, 83.0, 42.0]","[0.3494951676528601, 0.5, 0.3160714285714285, 0.236219118061426, 0.4466785714285709, 0.5045119047619049, 0.4886904761904762, 0.9880952380952381, 0.5]","[0.17474758382643005, 0.49411764705882355, 0.3123529411764705, 0.23344006961364452, 0.4414235294117642, 0.24928823529411773, 0.4829411764705882, 0.49404761904761907, 0.49411764705882355]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[168, 85, 85, 85, 85, 170, 85, 168, 85]",84
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[30.057517159763325, 42.5, 27.179999999999993, 20.312482840236708, 38.411999999999956, 42.88800000000001, 41.55, 84.0, 42.5]","[0.35361784893839204, 0.5, 0.31976470588235284, 0.23897038635572598, 0.45190588235294066, 0.5045647058823531, 0.48882352941176466, 0.9882352941176471, 0.5]","[0.17680892446919602, 0.4941860465116279, 0.31604651162790687, 0.23619166093298496, 0.44665116279069716, 0.2493488372093024, 0.4831395348837209, 0.49411764705882355, 0.4941860465116279]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[170, 86, 86, 86, 86, 172, 86, 170, 86]",85
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[30.057517159763325, 43.0, 27.179999999999993, 20.312482840236708, 38.411999999999956, 43.38800000000001, 42.05, 85.0, 43.0]","[0.34950601348562005, 0.5, 0.31604651162790687, 0.23619166093298496, 0.44665116279069716, 0.5045116279069769, 0.488953488372093, 0.9883720930232558, 0.5]","[0.17475300674281002, 0.4942528735632184, 0.3124137931034482, 0.23347681425559436, 0.44151724137930987, 0.24935632183908052, 0.4833333333333333, 0.4941860465116279, 0.4942528735632184]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[172, 87, 87, 87, 87, 174, 87, 172, 87]",86
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[30.757440236686403, 43.5, 27.80999999999999, 20.782559763313632, 39.302999999999955, 43.89700000000001, 42.55, 86.0, 43.5]","[0.35353379582398164, 0.5, 0.319655172413793, 0.23887999727946704, 0.45175862068965467, 0.5045632183908048, 0.4890804597701149, 0.9885057471264368, 0.5]","[0.17676689791199082, 0.4943181818181818, 0.3160227272727272, 0.23616545185583673, 0.4466249999999995, 0.2494147727272728, 0.4835227272727272, 0.4942528735632184, 0.4943181818181818]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[174, 88, 88, 88, 88, 176, 88, 174, 88]",87
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[30.757440236686403, 44.0, 27.80999999999999, 20.782559763313632, 39.302999999999955, 44.39700000000001, 43.05, 87.0, 44.0]","[0.3495163663259819, 0.5, 0.3160227272727272, 0.23616545185583673, 0.4466249999999995, 0.5045113636363637, 0.48920454545454545, 0.9886363636363636, 0.5]","[0.17475818316299094, 0.4943820224719101, 0.3124719101123595, 0.23351190745296216, 0.4416067415730332, 0.2494213483146068, 0.4837078651685393, 0.4943181818181818, 0.4943820224719101]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[176, 89, 89, 89, 89, 178, 89, 176, 89]",88
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[31.45736331360948, 44.5, 28.43999999999999, 21.252636686390556, 40.19399999999995, 44.90600000000001, 43.55, 88.0, 44.5]","[0.3534535203776346, 0.5, 0.3195505617977527, 0.23879367063360174, 0.45161797752808935, 0.5045617977528092, 0.48932584269662915, 0.9887640449438202, 0.5]","[0.1767267601888173, 0.49444444444444446, 0.3159999999999999, 0.23614040762656174, 0.4465999999999995, 0.24947777777777785, 0.48388888888888887, 0.4943820224719101, 0.49444444444444446]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[178, 90, 90, 90, 90, 180, 90, 178, 90]",89
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[31.45736331360948, 45.0, 28.43999999999999, 21.252636686390556, 40.19399999999995, 45.40600000000001, 44.05, 89.0, 45.0]","[0.3495262590401053, 0.5, 0.3159999999999999, 0.23614040762656174, 0.4465999999999995, 0.5045111111111112, 0.4894444444444444, 0.9888888888888889, 0.5]","[0.17476312952005266, 0.4945054945054945, 0.3125274725274724, 0.23354545809220392, 0.44169230769230716, 0.24948351648351655, 0.484065934065934, 0.49444444444444446, 0.4945054945054945]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[180, 91, 91, 91, 91, 182, 91, 180, 91]",90
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[32.157286390532555, 45.5, 29.06999999999999, 21.72271360946748, 41.08499999999995, 45.91500000000001, 44.55, 90.0, 45.5]","[0.35337677352233576, 0.5, 0.31945054945054935, 0.2387111385655767, 0.4514835164835159, 0.5045604395604397, 0.48956043956043954, 0.989010989010989, 0.5]","[0.17668838676116788, 0.4945652173913043, 0.3159782608695651, 0.23611645227682043, 0.44657608695652123, 0.24953804347826095, 0.48423913043478256, 0.4945054945054945, 0.4945652173913043]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[182, 92, 92, 92, 92, 184, 92, 182, 92]",91
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[32.157286390532555, 46.0, 29.06999999999999, 21.72271360946748, 41.08499999999995, 46.41500000000001, 45.05, 91.0, 46.0]","[0.34953572163622343, 0.5, 0.3159782608695651, 0.23611645227682043, 0.44657608695652123, 0.5045108695652175, 0.48967391304347824, 0.9891304347826086, 0.5]","[0.17476786081811171, 0.4946236559139785, 0.3125806451612902, 0.2335775656931987, 0.4417741935483866, 0.24954301075268825, 0.4844086021505376, 0.4945652173913043, 0.4946236559139785]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[184, 93, 93, 93, 93, 186, 93, 184, 93]",92
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[32.85720946745563, 46.5, 29.69999999999999, 22.192790532544404, 41.97599999999995, 46.924000000000014, 45.55, 92.0, 46.5]","[0.3533033276070498, 0.5, 0.3193548387096773, 0.23863215626391832, 0.45135483870967685, 0.5045591397849464, 0.4897849462365591, 0.989247311827957, 0.5]","[0.1766516638035249, 0.4946808510638298, 0.3159574468085105, 0.23609351630366388, 0.4465531914893612, 0.24959574468085113, 0.48457446808510635, 0.4946236559139785, 0.4946808510638298]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[186, 94, 94, 94, 94, 188, 94, 186, 94]",93
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[32.85720946745563, 47.0, 29.69999999999999, 22.192790532544404, 41.97599999999995, 47.424000000000014, 46.05, 93.0, 47.0]","[0.34954478156867697, 0.5, 0.3159574468085105, 0.23609351630366388, 0.4465531914893612, 0.5045106382978725, 0.48989361702127654, 0.9893617021276596, 0.5]","[0.17477239078433848, 0.49473684210526314, 0.3126315789473683, 0.23360832139520424, 0.44185263157894683, 0.24960000000000007, 0.48473684210526313, 0.4946808510638298, 0.49473684210526314]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[188, 95, 95, 95, 95, 190, 95, 188, 95]",94
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[33.55713254437871, 47.5, 30.329999999999988, 22.662867455621328, 42.86699999999995, 47.933000000000014, 46.55, 94.0, 47.5]","[0.35323297415135485, 0.5, 0.3192631578947367, 0.23855649953285607, 0.4512315789473679, 0.5045578947368422, 0.49, 0.9894736842105263, 0.5]","[0.17661648707567743, 0.4947916666666667, 0.31593749999999987, 0.2360715359960555, 0.44653124999999944, 0.24965104166666674, 0.4848958333333333, 0.49473684210526314, 0.4947916666666667]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[190, 96, 96, 96, 96, 192, 96, 190, 96]",95
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[33.55713254437871, 48.0, 30.329999999999988, 22.662867455621328, 42.86699999999995, 48.433000000000014, 47.05, 95.0, 48.0]","[0.3495534640039449, 0.5, 0.31593749999999987, 0.2360715359960555, 0.44653124999999944, 0.5045104166666668, 0.4901041666666666, 0.9895833333333334, 0.5]","[0.17477673200197244, 0.4948453608247423, 0.3126804123711339, 0.23363780882083843, 0.44192783505154587, 0.2496546391752578, 0.4850515463917526, 0.4947916666666667, 0.4948453608247423]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[192, 97, 97, 97, 97, 194, 97, 192, 97]",96
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[34.25705562130179, 48.5, 30.959999999999987, 23.13294437869825, 43.757999999999946, 48.942000000000014, 47.55, 96.0, 48.5]","[0.3531655218690906, 0.5, 0.31917525773195865, 0.2384839626669923, 0.45111340206185513, 0.504556701030928, 0.4902061855670103, 0.9896907216494846, 0.5]","[0.1765827609345453, 0.49489795918367346, 0.3159183673469386, 0.2360504528438597, 0.4465102040816321, 0.24970408163265315, 0.48520408163265305, 0.4948453608247423, 0.49489795918367346]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[194, 98, 98, 98, 98, 196, 98, 194, 98]",97
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[34.25705562130179, 49.0, 30.959999999999987, 23.13294437869825, 43.757999999999946, 49.442000000000014, 48.05, 97.0, 49.0]","[0.3495617920540999, 0.5, 0.3159183673469386, 0.2360504528438597, 0.4465102040816321, 0.5045102040816328, 0.4903061224489796, 0.9897959183673469, 0.5]","[0.17478089602704994, 0.494949494949495, 0.3127272727272726, 0.23366610483533587, 0.44199999999999945, 0.24970707070707077, 0.4853535353535353, 0.49489795918367346, 0.494949494949495]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[196, 99, 99, 99, 99, 198, 99, 196, 99]",98
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[34.956978698224866, 49.5, 31.589999999999986, 23.603021301775176, 44.648999999999944, 49.951000000000015, 48.55, 98.0, 49.5]","[0.3531007949315643, 0.5, 0.3190909090909089, 0.23841435658358764, 0.45099999999999946, 0.5045555555555558, 0.4904040404040404, 0.98989898989899, 0.5]","[0.17655039746578216, 0.495, 0.31589999999999985, 0.23603021301775176, 0.44648999999999944, 0.24975500000000006, 0.4855, 0.494949494949495, 0.495]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[198, 100, 100, 100, 100, 200, 100, 198, 100]",99
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[34.956978698224866, 50.0, 31.589999999999986, 23.603021301775176, 44.648999999999944, 50.451000000000015, 49.05, 99.0, 50.0]","[0.34956978698224866, 0.5, 0.31589999999999985, 0.23603021301775176, 0.44648999999999944, 0.5045100000000001, 0.4905, 0.99, 0.5]","[0.17478489349112433, 0.49504950495049505, 0.3127722772277226, 0.2336932802155958, 0.4420693069306925, 0.24975742574257434, 0.48564356435643563, 0.495, 0.49504950495049505]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[200, 101, 101, 101, 101, 202, 101, 200, 101]",100
