round,offerer,responder,offer,response,discounts
43,0,2,0.7,accept,"[0.9, 0.9]"
43,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
44,5,4,0.5,counter,"[1, 1]"
44,1,8,0.5,accept,"[1, 1]"
44,7,5,0.5,accept,"[1, 1]"
44,7,6,0.5,accept,"[1, 1]"
44,2,0,0.1,counter,"[1, 1]"
44,3,0,0.4553846153846154,counter,"[1, 1]"
45,4,5,0.01,accept,"[0.9, 0.9]"
45,8,1,0.5,accept,"[1, 1]"
45,5,7,0.5,accept,"[1, 1]"
45,6,7,0.5,accept,"[1, 1]"
45,0,2,0.7,accept,"[0.9, 0.9]"
45,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
46,5,4,0.5,counter,"[1, 1]"
46,1,8,0.5,accept,"[1, 1]"
46,7,5,0.5,accept,"[1, 1]"
46,7,6,0.5,accept,"[1, 1]"
46,2,0,0.1,counter,"[1, 1]"
46,3,0,0.4553846153846154,counter,"[1, 1]"
47,4,5,0.01,accept,"[0.9, 0.9]"
47,8,1,0.5,accept,"[1, 1]"
47,5,7,0.5,accept,"[1, 1]"
47,6,7,0.5,accept,"[1, 1]"
47,0,2,0.7,accept,"[0.9, 0.9]"
47,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
48,5,4,0.5,counter,"[1, 1]"
48,1,8,0.5,accept,"[1, 1]"
48,7,5,0.5,accept,"[1, 1]"
48,7,6,0.5,accept,"[1, 1]"
48,2,0,0.1,counter,"[1, 1]"
48,3,0,0.4553846153846154,counter,"[1, 1]"
49,4,5,0.01,accept,"[0.9, 0.9]"
49,8,1,0.5,accept,"[1, 1]"
49,5,7,0.5,accept,"[1, 1]"
49,6,7,0.5,accept,"[1, 1]"
49,0,2,0.7,accept,"[0.9, 0.9]"
49,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
50,5,4,0.5,counter,"[1, 1]"
50,1,8,0.5,accept,"[1, 1]"
50,7,5,0.5,accept,"[1, 1]"
50,7,6,0.5,accept,"[1, 1]"
50,2,0,0.1,counter,"[1, 1]"
50,3,0,0.4553846153846154,counter,"[1, 1]"
51,4,5,0.01,accept,"[0.9, 0.9]"
51,8,1,0.5,accept,"[1, 1]"
51,5,7,0.5,accept,"[1, 1]"
51,6,7,0.5,accept,"[1, 1]"
51,0,2,0.7,accept,"[0.9, 0.9]"
51,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
52,5,4,0.5,counter,"[1, 1]"
52,1,8,0.5,accept,"[1, 1]"
52,7,5,0.5,accept,"[1, 1]"
52,7,6,0.5,accept,"[1, 1]"
52,2,0,0.1,counter,"[1, 1]"
52,3,0,0.4553846153846154,counter,"[1, 1]"
53,4,5,0.01,accept,"[0.9, 0.9]"
53,8,1,0.5,accept,"[1, 1]"
53,5,7,0.5,accept,"[1, 1]"
53,6,7,0.5,accept,"[1, 1]"
53,0,2,0.7,accept,"[0.9, 0.9]"
53,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
54,5,4,0.5,counter,"[1, 1]"
54,1,8,0.5,accept,"[1, 1]"
54,7,5,0.5,accept,"[1, 1]"
54,7,6,0.5,accept,"[1, 1]"
54,2,0,0.1,counter,"[1, 1]"
54,3,0,0.4553846153846154,counter,"[1, 1]"
55,4,5,0.01,accept,"[0.9, 0.9]"
55,8,1,0.5,accept,"[1, 1]"
55,5,7,0.5,accept,"[1, 1]"
55,6,7,0.5,accept,"[1, 1]"
55,0,2,0.7,accept,"[0.9, 0.9]"
55,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
56,5,4,0.5,counter,"[1, 1]"
56,1,8,0.5,accept,"[1, 1]"
56,7,5,0.5,accept,"[1, 1]"
56,7,6,0.5,accept,"[1, 1]"
56,2,0,0.1,counter,"[1, 1]"
56,3,0,0.4553846153846154,counter,"[1, 1]"
57,4,5,0.01,accept,"[0.9, 0.9]"
57,8,1,0.5,accept,"[1, 1]"
57,5,7,0.5,accept,"[1, 1]"
57,6,7,0.5,accept,"[1, 1]"
57,0,2,0.7,accept,"[0.9, 0.9]"
57,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
58,5,4,0.5,counter,"[1, 1]"
58,1,8,0.5,accept,"[1, 1]"
58,7,5,0.5,accept,"[1, 1]"
58,7,6,0.5,accept,"[1, 1]"
58,2,0,0.1,counter,"[1, 1]"
58,3,0,0.4553846153846154,counter,"[1, 1]"
59,4,5,0.01,accept,"[0.9, 0.9]"
59,8,1,0.5,accept,"[1, 1]"
59,5,7,0.5,accept,"[1, 1]"
59,6,7,0.5,accept,"[1, 1]"
