round,offerer,responder,offer,response,discounts
98,2,0,0.1,counter,"[1, 1]"
98,3,0,0.4553846153846154,counter,"[1, 1]"
99,4,5,0.01,accept,"[0.9, 0.9]"
99,8,1,0.5,accept,"[1, 1]"
99,5,7,0.5,accept,"[1, 1]"
99,6,7,0.5,accept,"[1, 1]"
99,0,2,0.7,accept,"[0.9, 0.9]"
99,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
100,5,4,0.5,counter,"[1, 1]"
100,1,8,0.5,accept,"[1, 1]"
100,7,5,0.5,accept,"[1, 1]"
100,7,6,0.5,accept,"[1, 1]"
100,2,0,0.1,counter,"[1, 1]"
100,3,0,0.4553846153846154,counter,"[1, 1]"
